X,Y
2970.16161026838,1514.50233372229
2819.63652275379,1479.49649941657
2529.08809801634,1398.98308051342
1867.47782963827,1251.9585764294
477.746207701284,999.916569428238
2910.65169194866,1444.49066511085
2623.60385064177,1178.4463243874
2378.56301050175,975.412485414235
2196.53267211202,817.886231038506
2039.00641773629,705.86756126021
2035.50583430572,698.866394399066
1800.96674445741,590.348308051342
1541.9235705951,474.829054842473
1230.37164527421,355.809218203034
897.816219369895,243.790548424737
2910.65169194866,1581.01341890315
2620.1032672112,1882.06359393232
2371.56184364061,2123.60385064177
2161.5268378063,2312.63535589265
1993.49883313886,2449.15810968495
1975.995915986,2459.65985997666
1734.45565927655,2543.67386231039
1440.40665110852,2624.18728121354
1086.84772462077,2701.20011668611
701.783547257877,2767.71120186698
1933.98891481914,2417.6528588098
1807.96791131855,2179.61318553092
1702.9504084014,1976.57934655776
1611.93523920654,1780.54667444574
1538.42298716453,1626.52100350058
